"X.2","X.1","sample","scientific","maxn","family","genus","species","campaignid","dataset","planned.or.exploratory","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","id","unique.name","full.name","X","cluster","cluster.new","number","n","coords.x1","coords.x2","class","depth.1","slope","aspect","roughness","tpi","flowdir","detrended.bathy","detr.slope","detr.flowdir","detr.tri","detr.tpi","detr.aspect","SSTmean_SSTARRS","SSTsterr_SSTARRS","SSTtrend_SSTARRS","optional"
11,11,"21","Aplodactylidae Aplodactylus westralis",0,"Aplodactylidae","Aplodactylus","westralis","2020-06_south-west_stereo-BRUVs",NA,"MBH",-34.128151,114.817448,20200603,"8:24:00","South-west","No-take",NA,52.4,"Hayley","Yes",NA,"2020-06_south-west_stereo-BRUVs.21","Aplodactylidae Aplodactylus westralis","Aplodactylus westralis",NA,NA,NA,NA,NA,NA,NA,NA,-51,0.004340816,4.712388992,2,0,16,36.96670151,0.001407845,16,0.256017476,7.11e-14,4.879113197,20.11408806,0.018714249,0.177060023,TRUE
12,12,"22","Aplodactylidae Aplodactylus westralis",0,"Aplodactylidae","Aplodactylus","westralis","2020-06_south-west_stereo-BRUVs",NA,"MBH",-34.126271,114.819552,20200603,"8:32:00","South-west","No-take",NA,51.9,"Hayley","Yes",NA,"2020-06_south-west_stereo-BRUVs.22","Aplodactylidae Aplodactylus westralis","Aplodactylus westralis",NA,NA,NA,NA,NA,NA,NA,NA,-50,0.004340688,4.712388992,2,0,16,37.2219429,0.001407804,16,0.256017476,-7.11e-14,4.879117966,20.05408669,0.018714249,0.177060023,TRUE
13,13,"23","Aplodactylidae Aplodactylus westralis",0,"Aplodactylidae","Aplodactylus","westralis","2020-06_south-west_stereo-BRUVs",NA,"MBH",-34.124217,114.817017,20200603,"8:38:00","South-west","No-take",NA,51.3,"Hayley","Yes",NA,"2020-06_south-west_stereo-BRUVs.23","Aplodactylidae Aplodactylus westralis","Aplodactylus westralis",NA,NA,NA,NA,NA,NA,NA,NA,-51,0.004340559,4.712388992,2,0,16,36.83753204,0.001407764,16,0.256017476,0,4.879122734,20.11408806,0.018714249,0.177060023,TRUE
14,14,"24","Aplodactylidae Aplodactylus westralis",1,"Aplodactylidae","Aplodactylus","westralis","2020-06_south-west_stereo-BRUVs",NA,"MBH",-34.118739,114.826402,20200603,"8:47:00","South-west","No-take",NA,49.8,"Hayey","Yes",NA,"2020-06_south-west_stereo-BRUVs.24","Aplodactylidae Aplodactylus westralis","Aplodactylus westralis",NA,NA,NA,NA,NA,NA,NA,NA,-48,0.001412546,4.017577648,2,0,8,36.9876709,0.001983908,1,0.40389663,-6.39e-14,1.915679455,20.05408669,0.018714249,0.177060023,TRUE
15,15,"25","Aplodactylidae Aplodactylus westralis",0,"Aplodactylidae","Aplodactylus","westralis","2020-06_south-west_stereo-BRUVs",NA,"MBH",-34.116829,114.828432,20200603,"8:54:00","South-west","No-take",NA,48.4,"Hayley","Yes",NA,"2020-06_south-west_stereo-BRUVs.25","Aplodactylidae Aplodactylus westralis","Aplodactylus westralis",NA,NA,NA,NA,NA,NA,NA,NA,-47,0.002351,4.317534924,1,0.5,16,37.24291611,0.001030232,1,0.5,0.5,2.279763937,20.03408813,0.018714249,0.167060018,TRUE
16,16,"26","Aplodactylidae Aplodactylus westralis",0,"Aplodactylidae","Aplodactylus","westralis","2020-06_south-west_stereo-BRUVs",NA,"MBH",-34.120881,114.828907,20200603,"9:02:00","South-west","No-take",NA,48.4,"Hayley","Yes",NA,"2020-06_south-west_stereo-BRUVs.26","Aplodactylidae Aplodactylus westralis","Aplodactylus westralis",NA,NA,NA,NA,NA,NA,NA,NA,-48,0.002170226,4.712388992,1,-0.375,64,36.37208557,0.000816182,64,0.391146332,-0.375,1.280480862,20.05408669,0.018714249,0.177060023,TRUE
17,17,"27","Aplodactylidae Aplodactylus westralis",0,"Aplodactylidae","Aplodactylus","westralis","2020-06_south-west_stereo-BRUVs",NA,"MBH",-34.121824,114.832898,20200603,"10:19:00","South-west","No-take",NA,47.8,"Hayley","Yes",NA,"2020-06_south-west_stereo-BRUVs.27","Aplodactylidae Aplodactylus westralis","Aplodactylus westralis",NA,NA,NA,NA,NA,NA,NA,NA,-47,0.001689314,4.441411495,1,-0.25,8,36.01174164,0.001342493,2,0.420042962,-0.25,1.734317183,20.05408669,0.018714249,0.177060023,TRUE
18,18,"28","Aplodactylidae Aplodactylus westralis",0,"Aplodactylidae","Aplodactylus","westralis","2020-06_south-west_stereo-BRUVs",NA,"MBH",-34.112916,114.852137,20200603,"10:27:00","South-west","No-take",NA,44.7,"Hayley","Yes",NA,"2020-06_south-west_stereo-BRUVs.28","Aplodactylidae Aplodactylus westralis","Aplodactylus westralis",NA,NA,NA,NA,NA,NA,NA,NA,-44,0.002350941,5.107253551,1,-0.5,32,34.05678558,0.001380766,64,0.516146302,-0.5,0.602036834,19.96408844,0.018714249,0.187060013,TRUE
19,19,"29","Aplodactylidae Aplodactylus westralis",0,"Aplodactylidae","Aplodactylus","westralis","2020-06_south-west_stereo-BRUVs",NA,"MBH",-34.111084,114.855648,20200603,"10:31:00","South-west","No-take",NA,43,"Hayley","Yes",NA,"2020-06_south-west_stereo-BRUVs.29","Aplodactylidae Aplodactylus westralis","Aplodactylus westralis",NA,NA,NA,NA,NA,NA,NA,NA,-43,0.001461005,3.522017241,1,-0.25,32,33.63185501,0.002658231,1,0.573939562,-0.25,2.006920576,19.96408844,0.018714249,0.187060013,TRUE
20,20,"30","Aplodactylidae Aplodactylus westralis",0,"Aplodactylidae","Aplodactylus","westralis","2020-06_south-west_stereo-BRUVs",NA,"MBH",-34.112094,114.85946,20200603,"10:37:00","South-west","No-take",NA,42.9,"Hayley","Yes",NA,"2020-06_south-west_stereo-BRUVs.30","Aplodactylidae Aplodactylus westralis","Aplodactylus westralis",NA,NA,NA,NA,NA,NA,NA,NA,-43,0.002109199,3.681907654,1,-0.5,8,32.95168304,0.002442606,2,0.65389663,-0.5,2.271615505,19.9140873,0.018714249,0.207060024,TRUE
